,Open,High,Low,Close,Volume,TradingDate
0,67479.0,67822.0,67393.0,67479.0,364297,2023-05-08
1,67565.0,68596.0,67565.0,67822.0,607003,2023-05-09
2,67908.0,68424.0,67908.0,67908.0,633179,2023-05-10
3,67994.0,68424.0,67908.0,67994.0,477378,2023-05-11
4,68166.0,69284.0,67736.0,69198.0,1085041,2023-05-12
5,69971.0,70315.0,69456.0,69628.0,936340,2023-05-15
6,69628.0,70229.0,69456.0,70057.0,768209,2023-05-16
7,70401.0,71089.0,69714.0,70057.0,977785,2023-05-17
8,70315.0,71347.0,69971.0,71261.0,1552354,2023-05-18
9,71347.0,71605.0,70315.0,71175.0,1075113,2023-05-19
10,71175.0,71175.0,70487.0,70917.0,562355,2023-05-22
11,70917.0,70917.0,69971.0,70487.0,657960,2023-05-23
12,70487.0,70573.0,69714.0,69885.0,465813,2023-05-24
13,69800.0,71691.0,69628.0,71519.0,1343692,2023-05-25
14,71433.0,71691.0,70745.0,71433.0,865789,2023-05-26
15,71777.0,71949.0,71261.0,71433.0,881263,2023-05-29
16,71347.0,72980.0,71261.0,72206.0,1662064,2023-05-30
17,72378.0,72378.0,71433.0,72292.0,840575,2023-05-31
18,72206.0,72206.0,71433.0,71777.0,538944,2023-06-01
19,71777.0,72464.0,71433.0,72034.0,738485,2023-06-02
20,72120.0,73238.0,72034.0,73066.0,1428499,2023-06-05
21,73324.0,73324.0,72808.0,73324.0,516234,2023-06-06
22,73066.0,73410.0,72464.0,73066.0,707049,2023-06-07
23,72808.0,72980.0,71777.0,71863.0,1246481,2023-06-08
24,72464.0,72808.0,71949.0,72722.0,681805,2023-06-09
25,72636.0,72980.0,71863.0,72980.0,521246,2023-06-12
26,72550.0,72980.0,72464.0,72550.0,468477,2023-06-13
27,72464.0,72894.0,72292.0,72378.0,659704,2023-06-14
28,72378.0,72550.0,71863.0,72292.0,800193,2023-06-15
29,72292.0,74098.0,71691.0,72636.0,2234265,2023-06-16
30,72808.0,73496.0,72636.0,72808.0,664779,2023-06-19
31,73066.0,73754.0,72808.0,73496.0,946100,2023-06-20
32,73496.0,74269.0,73410.0,73754.0,707032,2023-06-21
33,74012.0,74355.0,72808.0,73496.0,1021586,2023-06-22
34,73582.0,73582.0,72894.0,73152.0,823244,2023-06-23
35,73152.0,73754.0,72722.0,73754.0,861394,2023-06-26
36,73926.0,75043.0,73926.0,75043.0,1544056,2023-06-27
37,75129.0,75473.0,74785.0,74785.0,967842,2023-06-28
38,74785.0,74871.0,74355.0,74355.0,563802,2023-06-29
39,74355.0,74441.0,73926.0,73926.0,734840,2023-06-30
40,74355.0,74613.0,73926.0,74269.0,1041108,2023-07-03
41,74269.0,74785.0,74098.0,74785.0,1329492,2023-07-04
42,75100.0,76500.0,74800.0,74800.0,1791184,2023-07-05
43,74800.0,75200.0,74000.0,74600.0,1522489,2023-07-06
44,74200.0,75500.0,74200.0,75300.0,899592,2023-07-07
45,75300.0,75900.0,74900.0,75300.0,1156888,2023-07-10
46,75300.0,75400.0,75000.0,75000.0,1093461,2023-07-11
47,75000.0,75700.0,74900.0,75300.0,906936,2023-07-12
48,75800.0,75800.0,75400.0,75800.0,1255041,2023-07-13
49,76900.0,78300.0,76100.0,78300.0,2826852,2023-07-14
50,79000.0,79200.0,78500.0,79000.0,1156882,2023-07-17
51,79000.0,79000.0,78100.0,78700.0,719990,2023-07-18
52,78500.0,78900.0,78300.0,78500.0,710544,2023-07-19
53,78600.0,81300.0,78500.0,80300.0,2297840,2023-07-20
54,79700.0,81000.0,79600.0,81000.0,1275567,2023-07-21
55,81000.0,81300.0,80600.0,81000.0,1175667,2023-07-24
56,81000.0,82200.0,81000.0,81300.0,1060033,2023-07-25
57,81200.0,82700.0,81100.0,82700.0,1273543,2023-07-26
58,82800.0,84400.0,82800.0,83700.0,1421340,2023-07-27
59,83500.0,84400.0,83100.0,84400.0,900725,2023-07-28
